"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File"	"Variable_Size"	"Species"	"Model"	"cluster"	"shade"	"Phyl"	"Lhab"	"Origin"
-2319.448	13	4665.443	4664.895	0.9956678	0.4485051	NA	"./Results/Model_Fits/DIA_ABBAModel.10b.txt"	"DIA"	"ABBA"	"Model.10b"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2320.141	12	4664.751	4664.282	1.000606	0.4475388	NA	"./Results/Model_Fits/DIA_ABBAModel.10c.txt"	"DIA"	"ABBA"	"Model.10c"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2387.785	12	4800.039	4799.57	0.9941706	0.3253108	NA	"./Results/Model_Fits/DIA_ABBAModel.11a.txt"	"DIA"	"ABBA"	"Model.11a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2380.096	12	4784.661	4784.192	0.9875192	0.3405467	NA	"./Results/Model_Fits/DIA_ABBAModel.11b.txt"	"DIA"	"ABBA"	"Model.11b"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2391.281	11	4804.959	4804.563	0.994519	0.318312	NA	"./Results/Model_Fits/DIA_ABBAModel.11c.txt"	"DIA"	"ABBA"	"Model.11c"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2292.316	23	4632.321	4630.633	1.00049	0.4911138	NA	"./Results/Model_Fits/DIA_ABBAModel.12a.txt"	"DIA"	"ABBA"	"Model.12a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2280.431	23	4608.55	4606.862	1.004305	0.5091778	NA	"./Results/Model_Fits/DIA_ABBAModel.12b.txt"	"DIA"	"ABBA"	"Model.12b"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2293.839	21	4631.086	4629.678	0.9977351	0.4886425	NA	"./Results/Model_Fits/DIA_ABBAModel.12c.txt"	"DIA"	"ABBA"	"Model.12c"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2290.596	23	4628.879	4627.191	1.001272	0.4935442	NA	"./Results/Model_Fits/DIA_ABBAModel.13a.txt"	"DIA"	"ABBA"	"Model.13a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2285.962	23	4619.613	4617.925	1.003828	0.5006307	NA	"./Results/Model_Fits/DIA_ABBAModel.13b.txt"	"DIA"	"ABBA"	"Model.13b"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2294.173	21	4631.754	4630.345	0.9975018	0.4882727	NA	"./Results/Model_Fits/DIA_ABBAModel.13c.txt"	"DIA"	"ABBA"	"Model.13c"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2294.881	23	4637.451	4635.763	1.002088	0.4871716	NA	"./Results/Model_Fits/DIA_ABBAModel.14a.txt"	"DIA"	"ABBA"	"Model.14a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2294.76	23	4637.209	4635.521	1.001758	0.4873068	NA	"./Results/Model_Fits/DIA_ABBAModel.14b.txt"	"DIA"	"ABBA"	"Model.14b"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2298.471	21	4640.351	4638.942	0.9998002	0.4828735	NA	"./Results/Model_Fits/DIA_ABBAModel.14c.txt"	"DIA"	"ABBA"	"Model.14c"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-5015.072	2	10034.17	10034.14	205.5429	-3.861789	NA	"./Results/Model_Fits/DIA_ACPLModel.01a.txt"	"DIA"	"ACPL"	"Model.01a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2209.227	4	4426.548	4426.454	0.9798357	-0.1069629	NA	"./Results/Model_Fits/DIA_ACPLModel.02a.txt"	"DIA"	"ACPL"	"Model.02a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2119.947	8	4256.237	4255.894	0.9989208	0.01251286	NA	"./Results/Model_Fits/DIA_ACPLModel.03a.txt"	"DIA"	"ACPL"	"Model.03a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2119.768	9	4257.966	4257.536	1.001269	0.01275199	NA	"./Results/Model_Fits/DIA_ACPLModel.04a.txt"	"DIA"	"ACPL"	"Model.04a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2118.617	10	4257.759	4257.233	1.004093	0.01429323	NA	"./Results/Model_Fits/DIA_ACPLModel.05a.txt"	"DIA"	"ACPL"	"Model.05a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2119.95	10	4260.426	4259.899	1.003092	0.01250916	NA	"./Results/Model_Fits/DIA_ACPLModel.06a.txt"	"DIA"	"ACPL"	"Model.06a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2118.644	10	4257.814	4257.287	1.001644	0.01425689	NA	"./Results/Model_Fits/DIA_ACPLModel.07a.txt"	"DIA"	"ACPL"	"Model.07a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2065.227	20	4172.513	4170.454	0.9954784	0.08574	NA	"./Results/Model_Fits/DIA_ACPLModel.08a.txt"	"DIA"	"ACPL"	"Model.08a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2069.041	20	4180.141	4178.082	1.005268	0.08063573	NA	"./Results/Model_Fits/DIA_ACPLModel.08b.txt"	"DIA"	"ACPL"	"Model.08b"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2064.6	19	4169.059	4167.2	0.9741454	0.08657872	NA	"./Results/Model_Fits/DIA_ACPLModel.08c.txt"	"DIA"	"ACPL"	"Model.08c"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2115.68	11	4253.993	4253.36	1.003457	0.01822267	NA	"./Results/Model_Fits/DIA_ACPLModel.09a.txt"	"DIA"	"ACPL"	"Model.09a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2115.499	11	4253.63	4252.997	0.998634	0.0184657	NA	"./Results/Model_Fits/DIA_ACPLModel.09b.txt"	"DIA"	"ACPL"	"Model.09b"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2117.972	10	4256.47	4255.944	0.9924104	0.01515594	NA	"./Results/Model_Fits/DIA_ACPLModel.09c.txt"	"DIA"	"ACPL"	"Model.09c"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2180.133	13	4387.142	4386.265	0.9817346	-0.06802843	NA	"./Results/Model_Fits/DIA_ACPLModel.10a.txt"	"DIA"	"ACPL"	"Model.10a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2124.437	13	4275.752	4274.875	0.9951584	0.00650383	NA	"./Results/Model_Fits/DIA_ACPLModel.10b.txt"	"DIA"	"ACPL"	"Model.10b"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2126.178	12	4277.107	4276.357	0.988714	0.004173886	NA	"./Results/Model_Fits/DIA_ACPLModel.10c.txt"	"DIA"	"ACPL"	"Model.10c"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2113.656	12	4252.062	4251.312	1.001402	0.02093165	NA	"./Results/Model_Fits/DIA_ACPLModel.11a.txt"	"DIA"	"ACPL"	"Model.11a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2097.704	12	4220.157	4219.407	0.9930857	0.04227933	NA	"./Results/Model_Fits/DIA_ACPLModel.11b.txt"	"DIA"	"ACPL"	"Model.11b"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2116.057	11	4254.748	4254.114	0.9923867	0.0177181	NA	"./Results/Model_Fits/DIA_ACPLModel.11c.txt"	"DIA"	"ACPL"	"Model.11c"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2064.317	21	4172.905	4170.634	0.9938103	0.08695754	NA	"./Results/Model_Fits/DIA_ACPLModel.12a.txt"	"DIA"	"ACPL"	"Model.12a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2056.868	21	4158.007	4155.737	1.000932	0.09692571	NA	"./Results/Model_Fits/DIA_ACPLModel.12b.txt"	"DIA"	"ACPL"	"Model.12b"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2065.194	19	4170.246	4168.388	0.9810325	0.08578414	NA	"./Results/Model_Fits/DIA_ACPLModel.12c.txt"	"DIA"	"ACPL"	"Model.12c"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2094.414	21	4233.099	4230.828	0.9947008	0.04669382	NA	"./Results/Model_Fits/DIA_ACPLModel.13a.txt"	"DIA"	"ACPL"	"Model.13a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2054.505	21	4153.28	4151.01	0.9887879	0.1000884	NA	"./Results/Model_Fits/DIA_ACPLModel.13b.txt"	"DIA"	"ACPL"	"Model.13b"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2065.117	19	4170.092	4168.233	0.9829663	0.08588751	NA	"./Results/Model_Fits/DIA_ACPLModel.13c.txt"	"DIA"	"ACPL"	"Model.13c"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2067.613	21	4179.497	4177.226	0.9996187	0.08254666	NA	"./Results/Model_Fits/DIA_ACPLModel.14a.txt"	"DIA"	"ACPL"	"Model.14a"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2064.772	21	4173.815	4171.544	1.014009	0.08634851	NA	"./Results/Model_Fits/DIA_ACPLModel.14b.txt"	"DIA"	"ACPL"	"Model.14b"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-2064.916	19	4169.691	4167.833	1.000706	0.08615549	NA	"./Results/Model_Fits/DIA_ACPLModel.14c.txt"	"DIA"	"ACPL"	"Model.14c"	"cluster2"	"shade1"	"Ang"	"D"	"E"
-11469.18	2	22942.38	22942.37	373.8143	-6.158573	NA	"./Results/Model_Fits/DIA_ACRUModel.01a.txt"	"DIA"	"ACRU"	"Model.01a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-4077.718	4	8163.486	8163.437	0.9723967	-0.1623731	NA	"./Results/Model_Fits/DIA_ACRUModel.02a.txt"	"DIA"	"ACRU"	"Model.02a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-4034.596	8	8085.369	8085.192	0.9746977	-0.1273908	NA	"./Results/Model_Fits/DIA_ACRUModel.03a.txt"	"DIA"	"ACRU"	"Model.03a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3814.898	9	7648.019	7647.797	1.000314	0.05083505	NA	"./Results/Model_Fits/DIA_ACRUModel.04a.txt"	"DIA"	"ACRU"	"Model.04a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3814.709	10	7649.69	7649.419	0.997777	0.05098849	NA	"./Results/Model_Fits/DIA_ACRUModel.05a.txt"	"DIA"	"ACRU"	"Model.05a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3801.43	10	7623.132	7622.86	1.001277	0.06176105	NA	"./Results/Model_Fits/DIA_ACRUModel.06a.txt"	"DIA"	"ACRU"	"Model.06a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3809.497	10	7639.267	7638.995	1.001531	0.05521651	NA	"./Results/Model_Fits/DIA_ACRUModel.07a.txt"	"DIA"	"ACRU"	"Model.07a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3690.911	25	7433.458	7431.822	1.00233	0.1514195	NA	"./Results/Model_Fits/DIA_ACRUModel.08a.txt"	"DIA"	"ACRU"	"Model.08a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3691.868	25	7435.371	7433.735	1.00482	0.1506417	NA	"./Results/Model_Fits/DIA_ACRUModel.08b.txt"	"DIA"	"ACRU"	"Model.08b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3694.521	24	7438.551	7437.043	1.00391	0.1484888	NA	"./Results/Model_Fits/DIA_ACRUModel.08c.txt"	"DIA"	"ACRU"	"Model.08c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3807.442	11	7637.21	7636.884	1.001997	0.05688398	NA	"./Results/Model_Fits/DIA_ACRUModel.09a.txt"	"DIA"	"ACRU"	"Model.09a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3805.968	11	7634.263	7633.936	1.001676	0.05807958	NA	"./Results/Model_Fits/DIA_ACRUModel.09b.txt"	"DIA"	"ACRU"	"Model.09b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3812.949	10	7646.17	7645.899	0.9943406	0.05241625	NA	"./Results/Model_Fits/DIA_ACRUModel.09c.txt"	"DIA"	"ACRU"	"Model.09c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3699.199	13	7424.848	7424.397	0.9998154	0.1446946	NA	"./Results/Model_Fits/DIA_ACRUModel.10a.txt"	"DIA"	"ACRU"	"Model.10a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3699.164	13	7424.78	7424.329	1.003359	0.1447224	NA	"./Results/Model_Fits/DIA_ACRUModel.10b.txt"	"DIA"	"ACRU"	"Model.10b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3700.764	12	7425.913	7425.527	0.994344	0.1434258	NA	"./Results/Model_Fits/DIA_ACRUModel.10c.txt"	"DIA"	"ACRU"	"Model.10c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3755.348	12	7535.083	7534.697	0.9954815	0.09914402	NA	"./Results/Model_Fits/DIA_ACRUModel.11a.txt"	"DIA"	"ACRU"	"Model.11a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3755.052	12	7534.491	7534.105	0.998487	0.09938418	NA	"./Results/Model_Fits/DIA_ACRUModel.11b.txt"	"DIA"	"ACRU"	"Model.11b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3759.382	11	7541.091	7540.765	0.9945883	0.09587155	NA	"./Results/Model_Fits/DIA_ACRUModel.11c.txt"	"DIA"	"ACRU"	"Model.11c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3691.584	26	7436.936	7435.168	0.9933933	0.1508718	NA	"./Results/Model_Fits/DIA_ACRUModel.12a.txt"	"DIA"	"ACRU"	"Model.12a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3694.41	26	7442.589	7440.82	1.004934	0.1485791	NA	"./Results/Model_Fits/DIA_ACRUModel.12b.txt"	"DIA"	"ACRU"	"Model.12b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3695.325	24	7440.158	7438.65	1.003614	0.1478369	NA	"./Results/Model_Fits/DIA_ACRUModel.12c.txt"	"DIA"	"ACRU"	"Model.12c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3688.087	26	7429.942	7428.174	0.9973333	0.1537111	NA	"./Results/Model_Fits/DIA_ACRUModel.13a.txt"	"DIA"	"ACRU"	"Model.13a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3690.079	26	7433.926	7432.158	0.9969773	0.1520927	NA	"./Results/Model_Fits/DIA_ACRUModel.13b.txt"	"DIA"	"ACRU"	"Model.13b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3695.559	24	7440.625	7439.117	1.000687	0.1476474	NA	"./Results/Model_Fits/DIA_ACRUModel.13c.txt"	"DIA"	"ACRU"	"Model.13c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3687.866	26	7429.501	7427.732	1.001136	0.1539545	NA	"./Results/Model_Fits/DIA_ACRUModel.14a.txt"	"DIA"	"ACRU"	"Model.14a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3693.155	26	7440.078	7438.31	1.002263	0.1495975	NA	"./Results/Model_Fits/DIA_ACRUModel.14b.txt"	"DIA"	"ACRU"	"Model.14b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3694.826	24	7439.159	7437.652	1.005404	0.1482419	NA	"./Results/Model_Fits/DIA_ACRUModel.14c.txt"	"DIA"	"ACRU"	"Model.14c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-6269.486	2	12542.99	12542.97	455.0529	-4.531943	NA	"./Results/Model_Fits/DIA_ACSAModel.01a.txt"	"DIA"	"ACSA"	"Model.01a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3386.174	4	6780.395	6780.347	0.9812371	-0.05174859	NA	"./Results/Model_Fits/DIA_ACSAModel.02a.txt"	"DIA"	"ACSA"	"Model.02a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3310.392	8	6636.957	6636.784	0.9979072	0.06600343	NA	"./Results/Model_Fits/DIA_ACSAModel.03a.txt"	"DIA"	"ACSA"	"Model.03a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3310.967	9	6640.152	6639.935	0.9976019	0.06510951	NA	"./Results/Model_Fits/DIA_ACSAModel.04a.txt"	"DIA"	"ACSA"	"Model.04a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3310.067	10	6640.399	6640.134	1.002109	0.06650901	NA	"./Results/Model_Fits/DIA_ACSAModel.05a.txt"	"DIA"	"ACSA"	"Model.05a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3299.915	10	6620.095	6619.83	1.00139	0.08228363	NA	"./Results/Model_Fits/DIA_ACSAModel.06a.txt"	"DIA"	"ACSA"	"Model.06a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3307.69	10	6635.645	6635.38	0.9991493	0.07020253	NA	"./Results/Model_Fits/DIA_ACSAModel.07a.txt"	"DIA"	"ACSA"	"Model.07a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3201.41	24	6452.291	6450.821	0.984534	0.2353433	NA	"./Results/Model_Fits/DIA_ACSAModel.08a.txt"	"DIA"	"ACSA"	"Model.08a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3205.29	24	6460.05	6458.579	0.9927465	0.2293156	NA	"./Results/Model_Fits/DIA_ACSAModel.08b.txt"	"DIA"	"ACSA"	"Model.08b"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3209.908	23	6467.167	6465.816	1.008112	0.2221394	NA	"./Results/Model_Fits/DIA_ACSAModel.08c.txt"	"DIA"	"ACSA"	"Model.08c"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3311.286	11	6644.891	6644.573	1.004454	0.06461397	NA	"./Results/Model_Fits/DIA_ACSAModel.09a.txt"	"DIA"	"ACSA"	"Model.09a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3309.817	11	6641.952	6641.634	1.001748	0.06689714	NA	"./Results/Model_Fits/DIA_ACSAModel.09b.txt"	"DIA"	"ACSA"	"Model.09b"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3310.709	10	6641.682	6641.417	0.9997539	0.06551307	NA	"./Results/Model_Fits/DIA_ACSAModel.09c.txt"	"DIA"	"ACSA"	"Model.09c"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3246.383	13	6519.207	6518.767	1.001665	0.1654625	NA	"./Results/Model_Fits/DIA_ACSAModel.10a.txt"	"DIA"	"ACSA"	"Model.10a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3246.414	13	6519.267	6518.827	0.9986856	0.1654158	NA	"./Results/Model_Fits/DIA_ACSAModel.10b.txt"	"DIA"	"ACSA"	"Model.10b"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3247.585	12	6519.547	6519.17	1.005349	0.1635955	NA	"./Results/Model_Fits/DIA_ACSAModel.10c.txt"	"DIA"	"ACSA"	"Model.10c"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3281.549	12	6587.475	6587.098	0.9993222	0.110821	NA	"./Results/Model_Fits/DIA_ACSAModel.11a.txt"	"DIA"	"ACSA"	"Model.11a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3284.338	12	6593.053	6592.676	1.000263	0.1064873	NA	"./Results/Model_Fits/DIA_ACSAModel.11b.txt"	"DIA"	"ACSA"	"Model.11b"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3283.008	11	6588.333	6588.015	0.9974634	0.1085547	NA	"./Results/Model_Fits/DIA_ACSAModel.11c.txt"	"DIA"	"ACSA"	"Model.11c"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3204.153	25	6459.902	6458.307	0.994005	0.2310811	NA	"./Results/Model_Fits/DIA_ACSAModel.12a.txt"	"DIA"	"ACSA"	"Model.12a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3209.29	25	6470.176	6468.581	0.9926258	0.2230991	NA	"./Results/Model_Fits/DIA_ACSAModel.12b.txt"	"DIA"	"ACSA"	"Model.12b"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3208.22	23	6463.791	6462.44	0.9914927	0.2247622	NA	"./Results/Model_Fits/DIA_ACSAModel.12c.txt"	"DIA"	"ACSA"	"Model.12c"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3201.739	25	6455.073	6453.477	1.004129	0.2348331	NA	"./Results/Model_Fits/DIA_ACSAModel.13a.txt"	"DIA"	"ACSA"	"Model.13a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3207.284	25	6466.164	6464.569	1.005486	0.2262162	NA	"./Results/Model_Fits/DIA_ACSAModel.13b.txt"	"DIA"	"ACSA"	"Model.13b"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3208.943	23	6465.237	6463.886	0.9988358	0.223639	NA	"./Results/Model_Fits/DIA_ACSAModel.13c.txt"	"DIA"	"ACSA"	"Model.13c"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3204.62	25	6460.836	6459.241	0.9953636	0.2303557	NA	"./Results/Model_Fits/DIA_ACSAModel.14a.txt"	"DIA"	"ACSA"	"Model.14a"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3200.599	25	6452.792	6451.197	0.9978092	0.2366048	NA	"./Results/Model_Fits/DIA_ACSAModel.14b.txt"	"DIA"	"ACSA"	"Model.14b"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-3206.834	23	6461.02	6459.668	0.9968176	0.2269155	NA	"./Results/Model_Fits/DIA_ACSAModel.14c.txt"	"DIA"	"ACSA"	"Model.14c"	"cluster2"	"shade1"	"Ang"	"D"	"N"
-7891.881	2	15787.78	15787.76	377.7862	-3.467659	NA	"./Results/Model_Fits/DIA_BEALModel.01a.txt"	"DIA"	"BEAL"	"Model.01a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3674.312	4	7356.679	7356.624	0.9737856	-0.07445268	NA	"./Results/Model_Fits/DIA_BEALModel.02a.txt"	"DIA"	"BEAL"	"Model.02a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3481.114	8	6978.428	6978.227	0.9990824	0.08098313	NA	"./Results/Model_Fits/DIA_BEALModel.03a.txt"	"DIA"	"BEAL"	"Model.03a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3478.871	9	6975.994	6975.742	0.9935274	0.08278738	NA	"./Results/Model_Fits/DIA_BEALModel.04a.txt"	"DIA"	"BEAL"	"Model.04a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3415.651	10	6851.609	6851.302	1.00192	0.1338737	NA	"./Results/Model_Fits/DIA_BEALModel.05a.txt"	"DIA"	"BEAL"	"Model.05a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3310.757	10	6641.823	6641.515	0.9959571	0.2180417	NA	"./Results/Model_Fits/DIA_BEALModel.06a.txt"	"DIA"	"BEAL"	"Model.06a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3416.674	10	6853.656	6853.349	1.001494	0.1328273	NA	"./Results/Model_Fits/DIA_BEALModel.07a.txt"	"DIA"	"BEAL"	"Model.07a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3219.791	24	6489.293	6487.581	1.000493	0.2912283	NA	"./Results/Model_Fits/DIA_BEALModel.08a.txt"	"DIA"	"BEAL"	"Model.08a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3217.301	24	6484.313	6482.601	1.003505	0.2932314	NA	"./Results/Model_Fits/DIA_BEALModel.08b.txt"	"DIA"	"BEAL"	"Model.08b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3215.224	23	6478.021	6476.449	1.00244	0.294902	NA	"./Results/Model_Fits/DIA_BEALModel.08c.txt"	"DIA"	"BEAL"	"Model.08c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3388.786	11	6799.942	6799.572	1.004836	0.1552644	NA	"./Results/Model_Fits/DIA_BEALModel.09a.txt"	"DIA"	"BEAL"	"Model.09a"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3386.496	11	6795.361	6794.991	1.006222	0.1571073	NA	"./Results/Model_Fits/DIA_BEALModel.09b.txt"	"DIA"	"BEAL"	"Model.09b"	"cluster2"	"shade2"	"Ang"	"D"	"N"
-3401.719	10	6823.745	6823.438	1.000293	0.1448596	NA	"./Results/Model_Fits/DIA_BEALModel.09c.txt"	"DIA"	"BEAL"	"Model.09c"	"cluster2"	"shade2"	"Ang"	"D"	"N"
